,제조사,모델,연식,주행거리,연료,변속기,기통,구동방식,등급,유형,색상,상태,가격
45,ford,f-150,2010.0,261140,휘발유,자동,8,후륜구동,대형,트럭,은색,훌륭함,15598800
46,honda,civic type r hatcheback,2019.0,15330,휘발유,수동,4,후륜구동,준중형,세단,회색,새거같음,47865600
47,ford,f150 supercrew cab harrley,2010.0,131938,휘발유,자동,8,사륜구동,대형,트럭,기타,새거같음,24000000
48,gmc,sierra 1500 classic,2007.0,577631,휘발유,자동,8,사륜구동,대형,트럭,갈색,좋음,8280000
49,ram,promaster cargo van,2017.0,164732,휘발유,자동,4,후륜구동,중형,밴,흰색,훌륭함,17526000
50,mazda,3,2010.0,226634,휘발유,자동,4,후륜구동,준중형,세단,회색,좋음,6000000
51,dodge,avenger,2009.0,241350,휘발유,자동,4,후륜구동,중형,세단,검은색,훌륭함,5760000
52,chevrolet,impala,2002.0,257440,휘발유,자동,6,후륜구동,중형,세단,흰색,좋음,3840000
53,toyota,camry,2003.0,273530,휘발유,자동,4,전륜구동,중형,세단,은색,좋음,3360000
54,chevrolet,express 1500 cargo van,2012.0,111812,휘발유,자동,6,전륜구동,대형,밴,검은색,새거같음,16762800
55,honda,odyssey,2007.0,313755,휘발유,자동,6,후륜구동,중형,미니밴,초록색,좋음,5040000
56,ford,focus se,2008.0,316973,휘발유,자동,4,후륜구동,준중형,세단,흰색,좋음,4080000
57,toyota,prius prime premium,2017.0,88495,휘발유,자동,4,전륜구동,대형,해치백,흰색,훌륭함,21480000
58,ford,thunderbird,2002.0,25737,휘발유,자동,8,후륜구동,준중형,컨버터블,노란색,새거,26100000
59,nissan,murano,2007.0,289,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,4800000
60,ford,explorer 4wd,2013.0,282921,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,9000000
61,toyota,camry se 4dr sedan,2014.0,170063,휘발유,자동,4,후륜구동,중형,세단,빨간색,훌륭함,11880000
62,gmc,sierra 1500 xlt,2005.0,360416,휘발유,자동,8,사륜구동,대형,트럭,검은색,좋음,12600000
63,ford,fusion se,2006.0,284,휘발유,자동,6,후륜구동,중형,세단,파란색,좋음,2580000
64,ford,explorer,2010.0,207561,휘발유,자동,6,전륜구동,대형,SUV,흰색,좋음,5160000
65,ford,f-150,2015.0,140634,휘발유,자동,6,사륜구동,대형,트럭,흰색,좋음,41880000
66,gmc,sierra 1500,2013.0,169728,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,23880000
67,ford,super duty f-250 srw,2017.0,22168,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,34680000
68,ford,f-150,2016.0,83048,휘발유,자동,6,전륜구동,대형,트럭,빨간색,좋음,45480000
69,ford,super duty f-250 srw,2016.0,50078,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,32280000
70,ford,f-150,2015.0,177958,휘발유,자동,6,전륜구동,대형,트럭,갈색,좋음,26280000
71,ford,excursion,2001.0,141592,휘발유,자동,10,사륜구동,대형,SUV,파란색,훌륭함,54000000
72,honda,civic,2006.0,27353,휘발유,자동,4,후륜구동,중형,세단,흰색,좋음,5040000
73,honda,odyssey ex,2003.0,392732,휘발유,자동,6,후륜구동,대형,미니밴,빨간색,좋음,2820000
74,audi,q8 prestige,2019.0,24487,휘발유,자동,6,사륜구동,대형,SUV,검은색,새거같음,77518800
75,honda,pilot 4wd,2011.0,406219,휘발유,자동,6,사륜구동,대형,SUV,회색,좋음,5640000
76,infiniti,q60 sport,2015.0,49557,휘발유,자동,6,전륜구동,중형,쿠페,검은색,좋음,17160000
77,lexus,es 300,2003.0,318582,휘발유,자동,6,후륜구동,대형,세단,기타,훌륭함,7800000
78,ford,five hundred sel,2006.0,442475,휘발유,자동,6,후륜구동,대형,세단,기타,좋음,4200000
79,dodge,intrepid,1998.0,21954,휘발유,자동,6,후륜구동,중형,세단,빨간색,훌륭함,4200000
80,toyota,corolla,2004.0,303940,휘발유,자동,4,후륜구동,준중형,세단,검은색,좋음,4200000
81,ford,f-150,2012.0,282780,휘발유,자동,6,전륜구동,대형,트럭,파란색,훌륭함,13194000
82,ford,f150 xlt,2016.0,218318,휘발유,자동,6,사륜구동,대형,트럭,흰색,훌륭함,23233200
83,chevrolet,tahoe,2008.0,217186,휘발유,자동,8,사륜구동,대형,SUV,검은색,좋음,17976000
84,toyota,rav4,2015.0,86284,휘발유,자동,4,후륜구동,대형,SUV,은색,좋음,19176000
85,lexus,gx 460,2012.0,231134,휘발유,자동,8,사륜구동,대형,SUV,검은색,좋음,21000000
86,toyota,fj cruiser,2007.0,240336,휘발유,자동,6,사륜구동,대형,SUV,노란색,좋음,20976000
87,toyota,tundra,2010.0,160834,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,21576000
88,toyota,tacoma,2001.0,227581,휘발유,자동,4,전륜구동,대형,트럭,은색,좋음,14700000
89,chevrolet,tahoe,2008.0,192407,휘발유,자동,8,전륜구동,대형,SUV,파란색,좋음,20376000
90,jeep,wrangler,2006.0,25752,휘발유,자동,6,사륜구동,대형,SUV,파란색,좋음,32274000
91,jeep,wrangler,2004.0,29658,휘발유,자동,6,사륜구동,대형,SUV,기타,좋음,27000000
92,ford,f-150,2008.0,278876,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,17994000
93,bmw,1-series,2009.0,54165,휘발유,기타,6,전륜구동,중형,쿠페,파란색,좋음,15576000
94,chevrolet,silverado 1500,2015.0,160097,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,29820000
95,dodge,dakota,2005.0,344560,휘발유,자동,8,사륜구동,대형,트럭,은색,좋음,5976000
96,chevrolet,avalanche,2008.0,173649,휘발유,자동,8,사륜구동,대형,SUV,은색,좋음,21576000
97,toyota,tacoma,2006.0,287941,휘발유,자동,6,전륜구동,대형,트럭,은색,좋음,19176000
98,jeep,wrangler,2016.0,74717,휘발유,자동,6,사륜구동,대형,SUV,빨간색,좋음,41994000
99,bmw,z4,2006.0,130401,휘발유,수동,6,전륜구동,중형,컨버터블,은색,좋음,11376000
100,toyota,4runner,2008.0,239842,휘발유,자동,6,전륜구동,대형,SUV,은색,좋음,11976000
101,honda,element,2010.0,129167,휘발유,자동,4,후륜구동,대형,SUV,검은색,좋음,17400000
102,toyota,highlander,2008.0,246233,휘발유,자동,6,후륜구동,대형,SUV,검은색,좋음,15576000
103,toyota,4runner,2000.0,195208,휘발유,자동,6,사륜구동,대형,SUV,은색,좋음,15576000
104,jeep,wrangler,2007.0,118005,휘발유,수동,6,사륜구동,대형,SUV,초록색,좋음,19194000
105,honda,pilot,2011.0,150843,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,16776000
106,jeep,wrangler,2010.0,129070,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,26394000
107,honda,element,2008.0,290863,휘발유,자동,4,사륜구동,대형,SUV,파란색,좋음,9576000
108,jeep,wrangler,2013.0,76882,휘발유,자동,6,사륜구동,대형,SUV,빨간색,좋음,35874000
109,toyota,4runner,2007.0,302965,휘발유,자동,6,전륜구동,대형,SUV,은색,좋음,10176000
110,mazda,mx-5 miata,2007.0,185894,휘발유,자동,4,전륜구동,중형,컨버터블,회색,좋음,10776000
111,ford,transit,2017.0,137675,휘발유,자동,6,전륜구동,대형,밴,검은색,좋음,20376000
112,ford,escape,2008.0,194645,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,7176000
113,jeep,wrangler,1988.0,183253,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,9594000
114,jeep,wrangler,2004.0,104092,휘발유,수동,6,사륜구동,대형,SUV,초록색,좋음,19194000
115,jeep,wrangler,2004.0,82155,휘발유,수동,6,사륜구동,대형,SUV,빨간색,좋음,22794000
116,mazda,truck,2005.0,225092,휘발유,수동,4,전륜구동,대형,트럭,흰색,좋음,9420000
117,nissan,xterra,2004.0,214368,휘발유,자동,6,전륜구동,대형,SUV,회색,좋음,2976000
118,jeep,wrangler,2012.0,138074,휘발유,기타,6,사륜구동,대형,SUV,검은색,좋음,26994000
119,nissan,rogue,2008.0,182404,휘발유,자동,4,후륜구동,대형,SUV,검은색,좋음,7740000
120,toyota,tacoma,2008.0,130357,휘발유,기타,4,전륜구동,대형,트럭,흰색,좋음,13020000
121,jeep,wrangler,2010.0,135925,휘발유,기타,6,사륜구동,대형,SUV,검은색,좋음,23994000
122,jeep,wrangler,2017.0,31911,휘발유,기타,6,사륜구동,대형,SUV,빨간색,좋음,33594000
123,ram,1500,2005.0,120119,휘발유,자동,8,사륜구동,대형,트럭,은색,좋음,17976000
124,toyota,4runner,2004.0,65056,휘발유,자동,8,사륜구동,대형,SUV,은색,좋음,25800000
125,jeep,wrangler,2008.0,142208,휘발유,자동,6,전륜구동,대형,SUV,노란색,좋음,19176000
126,toyota,tacoma,2011.0,175757,휘발유,자동,6,사륜구동,대형,트럭,회색,좋음,27000000
127,ford,econoline e250,2014.0,100103,휘발유,자동,8,전륜구동,대형,밴,흰색,훌륭함,17722800
128,chevrolet,corvette,2017.0,18020,휘발유,자동,8,전륜구동,준중형,쿠페,흰색,새거같음,69598800
129,volkswagen,cabriolet convertible,2002.0,227247,휘발유,수동,4,후륜구동,준중형,컨버터블,흰색,좋음,1440000
130,ford,econoline e250,2013.0,162251,휘발유,자동,8,전륜구동,대형,밴,흰색,훌륭함,14998800
131,lexus,gx 460,2012.0,231134,휘발유,자동,8,사륜구동,대형,SUV,검은색,좋음,21000000
132,ford,escape,2012.0,161212,휘발유,자동,6,후륜구동,대형,SUV,은색,좋음,7176000
133,chevrolet,tahoe,2008.0,217186,휘발유,자동,8,사륜구동,대형,SUV,검은색,좋음,17976000
134,toyota,4runner,2008.0,239842,휘발유,자동,6,전륜구동,대형,SUV,은색,좋음,11976000
135,nissan,rogue,2008.0,182404,휘발유,자동,4,후륜구동,대형,SUV,검은색,좋음,7740000
136,honda,pilot,2011.0,150843,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,16776000
137,ford,escape,2008.0,194645,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,7176000
138,toyota,4runner,2000.0,195208,휘발유,자동,6,사륜구동,대형,SUV,은색,좋음,15576000
139,honda,element,2008.0,290863,휘발유,자동,4,사륜구동,대형,SUV,파란색,좋음,9576000
140,mercedes-benz,sl-class,2009.0,48134,휘발유,자동,8,전륜구동,중형,컨버터블,검은색,좋음,51000000
141,ford,transit,2017.0,137675,휘발유,자동,6,전륜구동,대형,밴,검은색,좋음,20376000
142,chevrolet,tahoe,2008.0,192407,휘발유,자동,8,전륜구동,대형,SUV,파란색,좋음,20376000
143,chevrolet,silverado 1500,2015.0,160097,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,29820000
144,chevrolet,avalanche,2008.0,173649,휘발유,자동,8,사륜구동,대형,SUV,은색,좋음,21576000
145,ram,1500,2005.0,120119,휘발유,자동,8,사륜구동,대형,트럭,은색,좋음,17976000
146,honda,crv ex,2010.0,219437,휘발유,자동,4,후륜구동,중형,SUV,파란색,훌륭함,10740000
147,toyota,tacoma,2015.0,254294,휘발유,자동,6,사륜구동,대형,트럭,회색,좋음,28680000
148,jeep,wrangler,2010.0,129070,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,26394000
149,jeep,wrangler,2006.0,25752,휘발유,자동,6,사륜구동,대형,SUV,파란색,좋음,32274000
150,jeep,wrangler,2016.0,74717,휘발유,자동,6,사륜구동,대형,SUV,빨간색,좋음,41994000
151,jeep,wrangler,2007.0,118005,휘발유,수동,6,사륜구동,대형,SUV,초록색,좋음,19194000
152,jeep,wrangler,2004.0,29658,휘발유,자동,6,사륜구동,대형,SUV,기타,좋음,27000000
153,jeep,wrangler,2004.0,104092,휘발유,수동,6,사륜구동,대형,SUV,초록색,좋음,19194000
154,jeep,wrangler,2013.0,76882,휘발유,자동,6,사륜구동,대형,SUV,빨간색,좋음,35874000
155,jeep,wrangler,1993.0,213173,휘발유,수동,4,사륜구동,대형,SUV,흰색,좋음,8394000
156,jeep,wrangler,1988.0,183253,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,9594000
157,jeep,wrangler,2004.0,82155,휘발유,수동,6,사륜구동,대형,SUV,빨간색,좋음,22794000
158,jeep,wrangler,2012.0,138074,휘발유,기타,6,사륜구동,대형,SUV,검은색,좋음,26994000
159,jeep,wrangler,2017.0,31911,휘발유,기타,6,사륜구동,대형,SUV,빨간색,좋음,33594000
160,jeep,wrangler,2010.0,135925,휘발유,기타,6,사륜구동,대형,SUV,검은색,좋음,23994000
161,jeep,patriot,2009.0,254222,휘발유,자동,6,전륜구동,중형,SUV,은색,좋음,5040000
162,ford,e250 cargo van,2014.0,266561,휘발유,자동,8,전륜구동,대형,밴,흰색,좋음,17940000
163,chevrolet,silverado 3500hd,2012.0,278357,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,17880000
164,chevrolet,silverado 1500 lt 4x4,2016.0,102610,휘발유,자동,6,사륜구동,대형,트럭,흰색,훌륭함,38340000
165,ford,f350 crew cab 4x4,2016.0,151810,경유,자동,8,사륜구동,대형,트럭,흰색,좋음,45000000
166,jeep,wrangler unlimited sahara,2015.0,109532,휘발유,자동,6,사륜구동,대형,SUV,흰색,훌륭함,39540000
167,jeep,wrangler unlimited,2014.0,213779,휘발유,자동,6,사륜구동,대형,SUV,흰색,훌륭함,26340000
168,lexus,ls 400,1997.0,271921,휘발유,자동,8,전륜구동,대형,세단,흰색,새거같음,5400000
169,honda,civic lx sedan,2012.0,195495,휘발유,수동,4,후륜구동,소형,세단,빨간색,훌륭함,3600000
170,ram,1500 crew cab laramie,2017.0,123893,휘발유,자동,8,사륜구동,대형,트럭,파란색,훌륭함,34200000
171,ford,f-150 supercab xlt,2015.0,180473,휘발유,자동,6,전륜구동,대형,트럭,흰색,좋음,22680000
172,chevrolet,silverado 3500,2008.0,333997,경유,자동,8,전륜구동,대형,트럭,흰색,훌륭함,22794000
173,chevrolet,express g3500,2018.0,172933,휘발유,자동,8,전륜구동,대형,밴,흰색,훌륭함,19800000
174,bmw,135i,2012.0,128720,휘발유,자동,6,전륜구동,준중형,쿠페,검은색,훌륭함,21600000
175,cadillac,escalade,2009.0,270312,휘발유,자동,8,전륜구동,대형,SUV,흰색,좋음,12600000
176,pontiac,grand am se,1997.0,156073,휘발유,자동,4,후륜구동,중형,세단,갈색,좋음,2400000
177,hyundai,genesis coupe 2.0 turbo,2010.0,261953,휘발유,수동,4,전륜구동,중형,쿠페,검은색,좋음,8280000
178,honda,civic lx,2012.0,193532,휘발유,자동,4,후륜구동,대형,세단,회색,좋음,9480000
179,toyota,corolla le,2016.0,160360,휘발유,자동,4,후륜구동,중형,세단,빨간색,좋음,10680000
180,honda,odyssey exl,2007.0,123477,휘발유,자동,6,후륜구동,대형,밴,파란색,좋음,9480000
181,lexus,gx 470,2005.0,170554,휘발유,자동,8,사륜구동,중형,SUV,은색,훌륭함,42000000
182,volkswagen,jetta,2007.0,273530,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,4560000
183,toyota,sienna,2013.0,53097,휘발유,자동,6,후륜구동,대형,미니밴,회색,새거같음,30600000
184,chevrolet,camaro,2012.0,212388,휘발유,자동,6,전륜구동,중형,쿠페,검은색,새거같음,14398800
185,mazda,millenia,2002.0,376497,휘발유,자동,6,후륜구동,대형,세단,은색,나쁨,1440000
186,bmw,325is,2011.0,156073,휘발유,자동,6,전륜구동,준중형,세단,파란색,훌륭함,11400000
187,kia,sorento lx awd,2012.0,236115,휘발유,자동,6,사륜구동,중형,SUV,초록색,좋음,7200000
188,bmw,330i,2006.0,419627,휘발유,자동,6,전륜구동,중형,세단,빨간색,좋음,4798800
189,gmc,yukon xl,2019.0,21745,휘발유,자동,8,사륜구동,대형,SUV,흰색,새거같음,70800000
190,ford,super duty f-550 drw,2006.0,128773,경유,자동,8,사륜구동,대형,트럭,빨간색,좋음,32388000
191,ford,super duty f-350 drw,2016.0,176618,경유,자동,8,사륜구동,대형,트럭,회색,좋음,32388000
192,ram,5500,2016.0,58382,경유,자동,6,사륜구동,대형,트럭,검은색,좋음,63588000
193,ford,super duty f-650 straight frame,2016.0,174257,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
194,ford,super duty f-650 straight frame,2016.0,166266,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
195,gmc,savana cargo van,2017.0,105579,휘발유,자동,8,전륜구동,중형,밴,빨간색,좋음,26388000
196,ford,super duty f-650 straight frame,2016.0,171456,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
197,ram,5500,2011.0,158613,경유,자동,6,사륜구동,대형,트럭,흰색,좋음,43188000
198,chevrolet,silverado 3500hd,2013.0,280126,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,21588000
199,ford,f-350 sd,2008.0,110771,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,26388000
200,ford,econoline cargo van,2008.0,134285,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,33588000
201,chevrolet,cc4500,2006.0,178489,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,29988000
202,ford,super duty f-350 drw,2015.0,64747,경유,자동,8,사륜구동,대형,트럭,은색,좋음,50388000
203,ford,super duty f-450 drw,2012.0,89495,휘발유,자동,10,사륜구동,대형,트럭,흰색,좋음,38388000
204,bmw,135i convertible,2013.0,214344,휘발유,자동,6,전륜구동,중형,SUV,회색,좋음,17865600
205,toyota,corolla,1999.0,157682,휘발유,자동,4,후륜구동,준중형,세단,은색,훌륭함,4200000
206,nissan,altima,2000.0,214750,휘발유,자동,4,후륜구동,준중형,세단,갈색,훌륭함,3360000
207,subaru,impreza sport,2014.0,118208,휘발유,수동,4,사륜구동,준중형,해치백,검은색,훌륭함,12900000
208,ford,taurus sho awd,2011.0,222420,휘발유,자동,6,사륜구동,대형,세단,흰색,좋음,10680000
209,toyota,prius v hybrid,2014.0,219029,휘발유,자동,4,후륜구동,중형,해치백,흰색,좋음,11400000
210,honda,pilot exl,2018.0,40656,휘발유,자동,6,사륜구동,대형,SUV,초록색,좋음,27480000
211,honda,civic ex coupe,2011.0,78739,휘발유,자동,4,후륜구동,중형,쿠페,빨간색,좋음,9000000
212,ford,transit t-350 xlt,2019.0,12040,휘발유,자동,6,전륜구동,대형,밴,흰색,좋음,30600000
213,toyota,land cruiser,2002.0,468582,휘발유,자동,8,사륜구동,대형,SUV,회색,좋음,13800000
214,nissan,rogue sv,2014.0,193419,휘발유,자동,4,후륜구동,대형,SUV,빨간색,좋음,15480000
215,ford,edge sel,2017.0,134174,휘발유,자동,4,후륜구동,대형,SUV,검은색,좋음,19080000
216,chrysler,300,2008.0,96540,휘발유,자동,8,전륜구동,대형,세단,회색,훌륭함,9600000
217,mercedes-benz,cls-class,2006.0,273166,휘발유,자동,8,전륜구동,중형,쿠페,기타,좋음,11940000
218,ford,explorer limited,2000.0,117616,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,3120000
219,jeep,wrangler unlimited,2016.0,135096,휘발유,자동,6,사륜구동,중형,SUV,흰색,좋음,31800000
220,jeep,wrangler unlimited rubicon,2015.0,86018,휘발유,자동,6,사륜구동,중형,SUV,회색,훌륭함,40200000
221,toyota,avalon xle,2019.0,29737,휘발유,자동,6,후륜구동,대형,세단,흰색,새거같음,37065600
222,bmw,135i convertible,2013.0,214344,휘발유,자동,6,전륜구동,중형,SUV,회색,좋음,17865600
223,honda,ridgeline,2008.0,268703,휘발유,자동,6,사륜구동,대형,픽업트럭,회색,훌륭함,9480000
224,honda,accord se sedan,2011.0,118261,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,11340000
225,toyota,prius c,2012.0,242037,하이브리드,자동,4,후륜구동,준중형,트럭,회색,좋음,5400000
226,lexus,is 250,2015.0,101045,휘발유,자동,6,전륜구동,중형,세단,은색,훌륭함,22788000
227,nissan,titan pro-4x,2004.0,321800,휘발유,자동,8,사륜구동,대형,트럭,기타,새거같음,10839600
228,honda,accord crosstour exl,2010.0,157366,휘발유,자동,6,후륜구동,대형,웨건,회색,좋음,13080000
229,nissan,titan se,2007.0,257509,휘발유,자동,8,전륜구동,대형,픽업트럭,빨간색,좋음,9480000
230,fiat,500l lounge,2014.0,136407,휘발유,자동,4,후륜구동,중형,해치백,빨간색,좋음,10680000
231,jeep,liberty sport 4x4,2007.0,158463,휘발유,자동,6,사륜구동,중형,SUV,은색,좋음,7800000
232,toyota,tacoma,2016.0,89634,휘발유,자동,6,사륜구동,대형,트럭,회색,좋음,40680000
233,hyundai,genesis coupe,2012.0,140140,휘발유,자동,4,전륜구동,중형,쿠페,검은색,좋음,10680000
234,honda,civic lx,2012.0,207406,휘발유,자동,6,후륜구동,대형,세단,검은색,좋음,10680000
235,ford,f-250 xlt,2017.0,181804,휘발유,자동,6,사륜구동,대형,트럭,회색,새거같음,28776000
236,mercedes-benz,benz sl500,2004.0,121479,휘발유,자동,8,전륜구동,중형,컨버터블,검은색,훌륭함,10800000
237,gmc,acadia limited,2017.0,130602,휘발유,자동,6,후륜구동,대형,SUV,회색,좋음,25558800
238,gmc,terrain,2017.0,126184,휘발유,자동,4,후륜구동,대형,SUV,은색,좋음,20388000
239,hyundai,santa fe,2015.0,221462,휘발유,자동,6,사륜구동,대형,SUV,파란색,좋음,15588000
240,dodge,grand caravan,2019.0,95135,휘발유,자동,6,후륜구동,대형,밴,흰색,좋음,21588000
241,honda,hr-v,2017.0,30448,휘발유,자동,4,후륜구동,대형,SUV,빨간색,좋음,23988000
242,chevrolet,tahoe,2003.0,359051,휘발유,자동,8,사륜구동,대형,SUV,흰색,좋음,10320000
243,toyota,tacoma,2010.0,308567,휘발유,자동,6,전륜구동,대형,트럭,회색,좋음,18600000
244,chevrolet,tahoe,2004.0,471597,휘발유,자동,8,사륜구동,대형,SUV,흰색,좋음,6360000
245,nissan,frontier,2018.0,100723,휘발유,자동,6,사륜구동,대형,트럭,회색,좋음,28788000
246,toyota,highlander,2013.0,297153,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,15588000
247,chevrolet,silverado 1500,2016.0,263790,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,26280000
248,toyota,tacoma,2016.0,116694,휘발유,자동,4,전륜구동,대형,트럭,흰색,좋음,29988000
249,toyota,tundra,2014.0,299975,휘발유,자동,8,전륜구동,대형,트럭,회색,좋음,27000000
250,ford,expedition,2004.0,719922,휘발유,자동,8,전륜구동,대형,SUV,파란색,좋음,4200000
251,ford,f-150,2013.0,280968,휘발유,자동,8,사륜구동,대형,트럭,회색,좋음,23988000
